date,open,high,low,close,volume
2023-08-10 10:00:00,11.09,10.795,11.12,10.81,35254
2023-08-10 11:00:00,10.8,10.74,10.81,10.81,22514
2023-08-10 12:00:00,10.815,10.77,10.87,10.775,14774
2023-08-10 13:00:00,10.77,10.74,10.81,10.81,15614
2023-08-10 14:00:00,10.8,10.8,10.88,10.87,17108
2023-08-10 15:00:00,10.87,10.83,10.91,10.9,56980
